sentence,intent
"set the green can on container",place_object
"search for the small orange can near drawer",search_object
"pick the big black light screwdriver from zone b and drop it on basket",pick_and_place
"take the small gray light book from table one and put it on shelf two",pick_and_place
"pick the tiny yellow round bottle from top rack and place it on carton",pick_and_place
"grab the small white light remote from right shelf and place it on basket",pick_and_place
"set the purple mug on assembly table",place_object
"take the small black plastic block from storage bin and drop it on packing area",pick_and_place
"find the big green mug near storage bin",search_object
"navigate to table two",go_to_location
"bring the big green can",pick_object
"go to tool stand",go_to_location
"place the gray remote on tray three",place_object
"pick the large green heavy banana from bottom rack and drop it on output bin",pick_and_place
"place the purple book on shelf two",place_object
"navigate to tool stand",go_to_location
"look for the small purple book near station two",search_object
"place the red tool on inspection zone",place_object
"grab the small green wooden book from loading bay and put it on bin c",pick_and_place
"take the large orange clean banana from loading bay and place it on station three",pick_and_place
"set the orange tool on station three",place_object
"navigate to crate",go_to_location
"pick the big gray light mug from crate and place it on drop tray",pick_and_place
"pick the medium purple light can from workbench and drop it on basket",pick_and_place
"drop the orange apple on holder",place_object
"move to kitchen counter",go_to_location
"put the purple wrench on drop tray",place_object
"navigate to right shelf",go_to_location
"navigate to station two",go_to_location
"move to loading bay",go_to_location
"set the green ball on center table",place_object
"bring the big blue light box from right shelf and put it on center table",pick_and_place
"move to loading bay",go_to_location
"search for the small orange bottle near station one",search_object
"take the small white spoon",pick_object
"place the green packet on station three",place_object
"take the large white round book from bin a and place it on bin d",pick_and_place
"go to table one",go_to_location
"pick the medium brown clean jar from table two and drop it on packing area",pick_and_place
"pick the large black apple",pick_object
"pick the tiny gray plastic ball from zone a and drop it on bowl",pick_and_place
"fetch the big red book",pick_object
"fetch the medium gray wooden bottle from bottom rack and set it on station three",pick_and_place
"grab the small purple light apple from kitchen counter and set it on container",pick_and_place
"navigate to bottom rack",go_to_location
"set the white block on assembly table",place_object
"navigate to crate",go_to_location
"take the big purple heavy apple from station two and drop it on drop tray",pick_and_place
"put the yellow tool on desk",place_object
"pick the tiny green plastic cube from storage bin and drop it on packing area",pick_and_place
"bring the medium blue glass wrench from top rack and place it on packing area",pick_and_place
"fetch the medium white mug",pick_object
"set the green box on shelf two",place_object
"take the medium red light jar from station two and put it on bowl",pick_and_place
"pick the big green wooden apple from bin b and put it on holder",pick_and_place
"move to zone a",go_to_location
"go to workbench",go_to_location
"look for the small purple cube near drawer",search_object
"find the large white jar near bin b",search_object
"take the big blue mug",pick_object
"bring the medium blue heavy marker from station one and set it on tray two",pick_and_place
"pick the small green clean cube from station two and drop it on bin c",pick_and_place
"fetch the small purple plate",pick_object
"look for the small red plate near loading bay",search_object
"place the orange apple on tray three",place_object
"take the large orange square banana from tool stand and place it on holder",pick_and_place
"find the tiny brown banana near bottom rack",search_object
"drop the orange block on station three",place_object
"pick the small brown jar",pick_object
"go to table two",go_to_location
"drop the blue jar on target box",place_object
"place the gray block on packing area",place_object
"look for the small green box near tray one",search_object
"put the gray apple on bin c",place_object
"move to left shelf",go_to_location
"bring the tiny red square apple from bin b and put it on container",pick_and_place
"fetch the small brown fragile tool from table two and set it on carton",pick_and_place
"put the brown marker on packing area",place_object
"move to left shelf",go_to_location
"look for the tiny orange ball near loading bay",search_object
"drop the orange screwdriver on tray three",place_object
"take the large blue wooden box from drawer and place it on station three",pick_and_place
"pick the large blue remote",pick_object
"search for the big orange remote near station two",search_object
"take the large black can",pick_object
"search for the large green mug near tool stand",search_object
"set the purple wrench on packing area",place_object
"locate the big green marker near storage bin",search_object
"go to zone b",go_to_location
"pick the small brown fragile can from table two and drop it on drop tray",pick_and_place
"pick the small gray light block from tool stand and put it on drop tray",pick_and_place
"place the brown remote on station three",place_object
"take the tiny gray tool",pick_object
"grab the big red plastic remote from right shelf and place it on assembly table",pick_and_place
"navigate to zone b",go_to_location
"grab the small yellow box",pick_object
"locate the large black box near tray one",search_object
"move to zone b",go_to_location
"search for the tiny white block near table one",search_object
"bring the medium brown square plate from station two and place it on target box",pick_and_place
"move to station one",go_to_location
"place the brown marker on tray two",place_object
"drop the white wrench on tray two",place_object
"fetch the medium brown clean remote from loading bay and drop it on station three",pick_and_place
"bring the large orange bottle",pick_object
"navigate to left shelf",go_to_location
"fetch the medium orange glass remote from right shelf and put it on bin d",pick_and_place
"pick the small blue round tool from loading bay and drop it on station three",pick_and_place
"take the large black wooden marker from bottom rack and set it on bin c",pick_and_place
"pick the small black fragile ball from station one and set it on shelf two",pick_and_place
"go to tray one",go_to_location
"find the medium green spoon near storage bin",search_object
"look for the small gray banana near tray one",search_object
"go to station one",go_to_location
"navigate to storage bin",go_to_location
"find the large brown tool near tray one",search_object
"bring the large red bottle",pick_object
"find the medium white bottle near station two",search_object
"navigate to kitchen counter",go_to_location
"grab the tiny black apple",pick_object
"grab the large yellow plastic jar from station one and place it on carton",pick_and_place
"search for the big gray packet near table two",search_object
"drop the orange banana on holder",place_object
"locate the tiny black ball near drawer",search_object
"fetch the small white wooden wrench from top rack and put it on center table",pick_and_place
"locate the large gray marker near station two",search_object
"grab the big brown plate",pick_object
"find the medium gray screwdriver near bottom rack",search_object
"take the medium orange ball",pick_object
"drop the red cup on assembly table",place_object
"fetch the small red glass cube from storage bin and put it on station three",pick_and_place
"fetch the large yellow wrench",pick_object
"grab the large brown box",pick_object
"pick the medium black remote",pick_object
"locate the big purple packet near tray one",search_object
"drop the green mug on bin d",place_object
"pick the small orange screwdriver",pick_object
"find the small yellow cup near table one",search_object
"fetch the small purple spoon",pick_object
"move to drawer",go_to_location
"move to left shelf",go_to_location
"navigate to table one",go_to_location
"go to loading bay",go_to_location
"put the purple book on shelf two",place_object
"navigate to tool stand",go_to_location
"pick the medium red cube",pick_object
"set the purple book on shelf two",place_object
"put the purple cup on container",place_object
"take the tiny red book",pick_object
"fetch the large orange block",pick_object
"put the blue bottle on target box",place_object
"drop the blue bottle on shelf two",place_object
"pick the medium orange fragile packet from kitchen counter and set it on drop tray",pick_and_place
"put the yellow remote on drop tray",place_object
"take the small yellow clean jar from tray one and set it on packing area",pick_and_place
"navigate to station two",go_to_location
"go to tool stand",go_to_location
"navigate to workbench",go_to_location
"bring the medium green ball",pick_object
"drop the brown can on drop tray",place_object
"take the medium blue bottle",pick_object
"fetch the large black square cup from right shelf and place it on container",pick_and_place
"move to drawer",go_to_location
"take the medium yellow jar",pick_object
"move to station one",go_to_location
"navigate to tool stand",go_to_location
"pick the big gray book",pick_object
"take the tiny purple box",pick_object
"search for the small black marker near left shelf",search_object
"fetch the medium white book",pick_object
"grab the large black book",pick_object
"look for the medium gray book near kitchen counter",search_object
"pick the big blue plastic apple from loading bay and put it on drop tray",pick_and_place
"pick the big gray clean screwdriver from table two and drop it on tray three",pick_and_place
"move to kitchen counter",go_to_location
"fetch the tiny yellow cube",pick_object
"set the red cup on bowl",place_object
"go to crate",go_to_location
"fetch the tiny purple clean apple from crate and drop it on bin c",pick_and_place
"take the big gray cup",pick_object
"fetch the medium red marker",pick_object
"pick the large yellow can",pick_object
"locate the small yellow can near bin a",search_object
"drop the green plate on drop tray",place_object
"locate the tiny purple cube near table two",search_object
"move to tray one",go_to_location
"drop the orange can on bin d",place_object
"fetch the small blue clean ball from bin a and place it on carton",pick_and_place
"navigate to tray one",go_to_location
"drop the white jar on basket",place_object
"pick the large red plastic cube from tray one and set it on packing area",pick_and_place
"go to station one",go_to_location
"bring the medium green light remote from table two and drop it on basket",pick_and_place
"place the red box on output bin",place_object
"navigate to drawer",go_to_location
"place the green mug on center table",place_object
"navigate to zone b",go_to_location
"go to workbench",go_to_location
"search for the medium gray box near right shelf",search_object
"look for the tiny yellow bottle near table one",search_object
"take the small blue light bottle from kitchen counter and place it on assembly table",pick_and_place
"look for the big red bottle near station two",search_object
"locate the large black bottle near workbench",search_object
"find the small gray jar near bottom rack",search_object
"bring the small orange fragile tool from table two and set it on inspection zone",pick_and_place
"pick the small orange jar",pick_object
"look for the medium yellow packet near table two",search_object
"search for the big green block near table two",search_object
"search for the small purple apple near zone a",search_object
"go to zone a",go_to_location
"take the large white round remote from workbench and set it on container",pick_and_place
"bring the large black heavy banana from right shelf and place it on mat",pick_and_place
"look for the large black wrench near tool stand",search_object
"search for the medium gray book near bin b",search_object
"move to left shelf",go_to_location
"bring the big blue round plate from tool stand and set it on tray two",pick_and_place
"place the gray cube on tray two",place_object
"locate the big orange wrench near right shelf",search_object
"search for the tiny gray plate near zone b",search_object
"set the white mug on mat",place_object
"fetch the tiny blue metal cup from right shelf and drop it on container",pick_and_place
"fetch the medium brown metal can from zone b and put it on center table",pick_and_place
"fetch the medium black heavy can from station one and put it on shelf two",pick_and_place
"pick the large green block",pick_object
"bring the small brown plastic plate from drawer and drop it on bowl",pick_and_place
"put the yellow jar on bin c",place_object
"take the tiny red glass remote from kitchen counter and set it on inspection zone",pick_and_place
"navigate to tray one",go_to_location
"pick the small orange mug",pick_object
"search for the small gray wrench near workbench",search_object
"pick the big brown wrench",pick_object
"fetch the big brown box",pick_object
"pick the large purple plastic box from top rack and set it on shelf two",pick_and_place
"pick the small green box",pick_object
"bring the tiny red wooden apple from station two and drop it on mat",pick_and_place
"locate the small orange bottle near table one",search_object
"pick the medium green square book from left shelf and set it on shelf two",pick_and_place
"take the tiny orange jar",pick_object
"locate the small orange packet near workbench",search_object
"move to tray one",go_to_location
"grab the large gray fragile wrench from top rack and set it on tray two",pick_and_place
"look for the tiny blue remote near table two",search_object
"set the white screwdriver on packing area",place_object
"take the small brown can",pick_object
"pick the tiny gray fragile can from tool stand and place it on drop tray",pick_and_place
"drop the brown wrench on bin d",place_object
"place the blue apple on mat",place_object
"pick the large red can",pick_object
"fetch the big red round cup from right shelf and place it on tray two",pick_and_place
"take the big orange remote",pick_object
"move to storage bin",go_to_location
"go to storage bin",go_to_location
"bring the tiny purple glass cube from bin b and drop it on desk",pick_and_place
"place the black tool on holder",place_object
"place the purple box on packing area",place_object
"grab the small blue light spoon from left shelf and place it on container",pick_and_place
"fetch the tiny black glass ball from table one and set it on inspection zone",pick_and_place
"pick the small blue banana",pick_object
"bring the big orange round spoon from drawer and drop it on mat",pick_and_place
"set the gray tool on carton",place_object
"fetch the tiny black heavy block from drawer and set it on assembly table",pick_and_place
"set the white banana on container",place_object
"search for the large gray plate near workbench",search_object
"bring the large blue wooden ball from right shelf and put it on carton",pick_and_place
"look for the small green wrench near drawer",search_object
"set the gray mug on bowl",place_object
"go to bin a",go_to_location
"pick the big gray metal can from left shelf and set it on drop tray",pick_and_place
"drop the green tool on bowl",place_object
"navigate to loading bay",go_to_location
"set the green cup on output bin",place_object
"pick the small black plate",pick_object
"grab the small white cup",pick_object
"take the medium green square packet from table two and place it on assembly table",pick_and_place
"grab the medium yellow bottle",pick_object
"place the yellow plate on holder",place_object
"drop the green remote on output bin",place_object
"bring the large orange book",pick_object
"drop the white plate on inspection zone",place_object
"place the gray apple on drop tray",place_object
"go to workbench",go_to_location
"set the green bottle on container",place_object
"fetch the tiny yellow jar",pick_object
"place the purple screwdriver on packing area",place_object
"grab the small gray bottle",pick_object
"set the white cube on bin d",place_object
"fetch the large yellow plastic screwdriver from crate and set it on bin c",pick_and_place
"grab the big black cup",pick_object
"bring the large green ball",pick_object
"put the white book on inspection zone",place_object
"look for the tiny gray marker near left shelf",search_object
"navigate to station two",go_to_location
"drop the brown apple on station three",place_object
"set the blue packet on drop tray",place_object
"locate the small brown mug near right shelf",search_object
"grab the medium black heavy spoon from tool stand and drop it on container",pick_and_place
"take the medium brown square apple from tool stand and place it on basket",pick_and_place
"bring the small gray glass banana from bin a and drop it on bin c",pick_and_place
"bring the big gray metal cup from bin a and drop it on drop tray",pick_and_place
"navigate to loading bay",go_to_location
"move to zone b",go_to_location
"fetch the small green block",pick_object
"grab the big white plate",pick_object
"place the gray screwdriver on target box",place_object
"set the white remote on mat",place_object
"fetch the big orange marker",pick_object
"find the tiny black remote near bottom rack",search_object
"pick the tiny red round can from loading bay and place it on holder",pick_and_place
"locate the tiny orange plate near left shelf",search_object
"search for the big gray book near station two",search_object
"move to kitchen counter",go_to_location
"navigate to left shelf",go_to_location
"move to station one",go_to_location
"navigate to top rack",go_to_location
"pick the medium orange ball",pick_object
"move to table one",go_to_location
"fetch the tiny black wrench",pick_object
"navigate to zone a",go_to_location
"look for the small purple box near station two",search_object
"search for the large white wrench near bin a",search_object
"drop the green mug on shelf two",place_object
"grab the medium green plate",pick_object
"put the gray packet on packing area",place_object
"grab the large black screwdriver",pick_object
"drop the green cup on mat",place_object
"fetch the small yellow remote",pick_object
"set the green bottle on carton",place_object
"take the medium blue light spoon from kitchen counter and drop it on output bin",pick_and_place
"navigate to top rack",go_to_location
"set the purple jar on carton",place_object
"bring the big green metal cup from station two and drop it on tray two",pick_and_place
"move to bin a",go_to_location
"place the purple apple on tray three",place_object
"move to top rack",go_to_location
"search for the large blue block near kitchen counter",search_object
"go to loading bay",go_to_location
"navigate to table one",go_to_location
"drop the brown screwdriver on tray two",place_object
"move to table one",go_to_location
"set the orange screwdriver on basket",place_object
"grab the small purple bottle",pick_object
"set the orange cup on inspection zone",place_object
"set the brown tool on carton",place_object
"go to bottom rack",go_to_location
"bring the large black round cup from crate and put it on target box",pick_and_place
"move to left shelf",go_to_location
"set the gray plate on drop tray",place_object
"set the blue remote on inspection zone",place_object
"locate the medium orange ball near zone b",search_object
"search for the tiny purple cube near table two",search_object
"put the red apple on output bin",place_object
"locate the large yellow jar near workbench",search_object
"pick the large blue square packet from top rack and put it on bin c",pick_and_place
"locate the big black screwdriver near crate",search_object
"bring the small brown square book from table one and put it on output bin",pick_and_place
"bring the tiny yellow light screwdriver from zone b and drop it on bin d",pick_and_place
"bring the big blue square apple from loading bay and drop it on output bin",pick_and_place
"navigate to tool stand",go_to_location
"grab the medium black metal can from right shelf and drop it on holder",pick_and_place
"take the tiny yellow metal packet from station one and place it on center table",pick_and_place
"navigate to bin b",go_to_location
"bring the tiny brown tool",pick_object
"locate the small orange book near tool stand",search_object
"navigate to zone b",go_to_location
"go to table one",go_to_location
"fetch the tiny brown mug",pick_object
"move to left shelf",go_to_location
"fetch the medium brown can",pick_object
"go to bottom rack",go_to_location
"search for the big white marker near loading bay",search_object
"grab the tiny black wrench",pick_object
"move to table two",go_to_location
"fetch the tiny gray wrench",pick_object
"fetch the tiny white clean block from bin a and place it on basket",pick_and_place
"set the white banana on container",place_object
"take the small gray block",pick_object
"navigate to bottom rack",go_to_location
"grab the large blue cup",pick_object
"pick the big purple light banana from station one and put it on tray three",pick_and_place
"pick the large green cube",pick_object
"navigate to bin a",go_to_location
"search for the medium gray apple near station one",search_object
"bring the large orange round plate from left shelf and set it on center table",pick_and_place
"drop the green tool on target box",place_object
"locate the big blue banana near drawer",search_object
"go to station one",go_to_location
"put the gray plate on bin d",place_object
"pick the small purple jar",pick_object
"set the yellow cube on tray three",place_object
"set the orange bottle on target box",place_object
"put the red marker on center table",place_object
"set the red book on drop tray",place_object
"drop the brown book on assembly table",place_object
"navigate to bottom rack",go_to_location
"fetch the medium brown square spoon from station two and put it on bin c",pick_and_place
"fetch the medium red mug",pick_object
"grab the tiny green fragile marker from loading bay and put it on bowl",pick_and_place
"pick the big white plastic plate from bin a and drop it on center table",pick_and_place
"take the small brown block",pick_object
"look for the large yellow apple near station one",search_object
"grab the small purple wrench",pick_object
"fetch the medium purple square box from bin a and put it on inspection zone",pick_and_place
"take the tiny blue plate",pick_object
"fetch the small orange plastic wrench from station one and set it on bin d",pick_and_place
"drop the black mug on carton",place_object
"set the yellow packet on bin d",place_object
"navigate to left shelf",go_to_location
"move to station two",go_to_location
"move to right shelf",go_to_location
"navigate to left shelf",go_to_location
"take the small blue plastic jar from tool stand and put it on output bin",pick_and_place
"move to zone b",go_to_location
"grab the tiny purple glass remote from table two and drop it on desk",pick_and_place
"move to table one",go_to_location
"take the big purple remote",pick_object
"set the blue plate on mat",place_object
"pick the large brown book",pick_object
"drop the orange cube on holder",place_object
"move to storage bin",go_to_location
"fetch the small red wrench",pick_object
"put the gray apple on holder",place_object
"navigate to tool stand",go_to_location
"fetch the medium white bottle",pick_object
"search for the tiny green screwdriver near top rack",search_object
"take the small green wooden screwdriver from left shelf and put it on drop tray",pick_and_place
"navigate to storage bin",go_to_location
"search for the small purple jar near station two",search_object
"grab the large red round cube from tray one and put it on tray two",pick_and_place
"fetch the medium green packet",pick_object
"take the tiny white heavy jar from storage bin and put it on drop tray",pick_and_place
"move to bin b",go_to_location
"grab the medium white heavy jar from workbench and place it on center table",pick_and_place
"pick the big red plate",pick_object
"set the orange spoon on tray two",place_object
"pick the big yellow mug",pick_object
"bring the tiny black bottle",pick_object
"drop the red marker on target box",place_object
"put the brown bottle on bowl",place_object
"find the tiny gray jar near drawer",search_object
"navigate to right shelf",go_to_location
"bring the big gray mug",pick_object
"bring the tiny purple wooden screwdriver from bottom rack and drop it on assembly table",pick_and_place
"search for the medium green jar near tray one",search_object
"move to tool stand",go_to_location
"locate the small yellow bottle near left shelf",search_object
"move to zone b",go_to_location
"move to drawer",go_to_location
"drop the blue banana on tray three",place_object
"go to crate",go_to_location
"find the medium green ball near workbench",search_object
"grab the medium brown jar",pick_object
"navigate to bin a",go_to_location
"fetch the medium black light jar from zone b and set it on drop tray",pick_and_place
"grab the big white glass packet from crate and drop it on holder",pick_and_place
"grab the large red wooden mug from tray one and drop it on carton",pick_and_place
"look for the tiny brown ball near kitchen counter",search_object
"fetch the large brown wrench",pick_object
"fetch the medium yellow box",pick_object
"place the white box on carton",place_object
"take the tiny white glass apple from station two and drop it on drop tray",pick_and_place
"bring the large yellow plastic can from storage bin and place it on tray two",pick_and_place
"set the red cube on drop tray",place_object
"move to storage bin",go_to_location
"search for the medium brown jar near tray one",search_object
"take the small yellow cup",pick_object
"pick the large red plastic jar from bottom rack and set it on shelf two",pick_and_place
"grab the tiny orange wrench",pick_object
"grab the medium purple metal bottle from tool stand and put it on drop tray",pick_and_place
"navigate to station one",go_to_location
"find the big green packet near table two",search_object
"navigate to zone a",go_to_location
"locate the medium gray banana near table two",search_object
"go to storage bin",go_to_location
"take the big yellow heavy plate from bin a and place it on target box",pick_and_place
"bring the big orange metal spoon from station two and place it on carton",pick_and_place
"navigate to tray one",go_to_location
"pick the small black cup",pick_object
"locate the big white block near zone a",search_object
"move to crate",go_to_location
"search for the tiny white tool near zone b",search_object
"set the blue remote on assembly table",place_object
"navigate to crate",go_to_location
"find the small yellow packet near top rack",search_object
"pick the tiny gray round block from right shelf and put it on holder",pick_and_place
"grab the big purple glass apple from bottom rack and place it on bin c",pick_and_place
"pick the medium green square remote from table one and set it on mat",pick_and_place
"go to crate",go_to_location
"grab the big brown jar",pick_object
"find the medium black mug near drawer",search_object
"navigate to top rack",go_to_location
"look for the tiny white tool near top rack",search_object
"bring the large yellow fragile plate from table one and put it on inspection zone",pick_and_place
"place the orange wrench on assembly table",place_object
"fetch the large blue tool",pick_object
"place the gray wrench on drop tray",place_object
"go to kitchen counter",go_to_location
"take the big gray cube",pick_object
"drop the brown wrench on holder",place_object
"move to zone a",go_to_location
"move to crate",go_to_location
"place the black screwdriver on mat",place_object
"move to top rack",go_to_location
"set the blue screwdriver on tray three",place_object
"navigate to tool stand",go_to_location
"locate the medium gray cup near kitchen counter",search_object
"pick the small yellow can",pick_object
"go to tray one",go_to_location
"drop the red block on inspection zone",place_object
"pick the large green packet",pick_object
"move to drawer",go_to_location
"fetch the small yellow tool",pick_object
"navigate to zone b",go_to_location
"look for the tiny yellow jar near crate",search_object
"look for the small yellow remote near loading bay",search_object
"set the yellow jar on inspection zone",place_object
"place the orange box on packing area",place_object
"drop the blue ball on center table",place_object
"bring the large green screwdriver",pick_object
"take the tiny blue heavy book from loading bay and put it on container",pick_and_place
"take the big black apple",pick_object
"fetch the medium black marker",pick_object
"take the tiny purple can",pick_object
"set the orange tool on output bin",place_object
"locate the big black plate near storage bin",search_object
"go to workbench",go_to_location
"look for the big black apple near crate",search_object
"set the green book on holder",place_object
"drop the white block on shelf two",place_object
"fetch the large red light bottle from tool stand and put it on shelf two",pick_and_place
"put the purple ball on mat",place_object
"place the brown screwdriver on station three",place_object
"pick the big gray can",pick_object
"bring the tiny brown bottle",pick_object
"look for the medium red remote near right shelf",search_object
"go to zone a",go_to_location
"bring the large yellow spoon",pick_object
"put the brown cup on assembly table",place_object
"drop the brown spoon on holder",place_object
"locate the large yellow mug near station one",search_object
"take the small white plastic marker from tool stand and set it on holder",pick_and_place
"take the big purple plate",pick_object
"put the white plate on holder",place_object
"place the brown can on bin d",place_object
"set the brown wrench on output bin",place_object
"go to table two",go_to_location
"navigate to zone a",go_to_location
"find the small green cube near tray one",search_object
"pick the tiny orange tool",pick_object
"drop the brown mug on tray three",place_object
"bring the large gray heavy can from right shelf and put it on center table",pick_and_place
"fetch the medium blue book",pick_object
"find the tiny black book near zone b",search_object
"take the medium purple plate",pick_object
"bring the medium blue plate",pick_object
"navigate to kitchen counter",go_to_location
"fetch the big yellow block",pick_object
"navigate to zone b",go_to_location
"drop the brown mug on drop tray",place_object
"grab the tiny red metal jar from bin b and place it on desk",pick_and_place
"search for the large purple screwdriver near kitchen counter",search_object
"pick the big blue heavy book from drawer and put it on shelf two",pick_and_place
"grab the tiny black round apple from tray one and drop it on inspection zone",pick_and_place
"take the small green glass mug from zone a and set it on holder",pick_and_place
"grab the medium brown heavy packet from right shelf and put it on bowl",pick_and_place
"move to workbench",go_to_location
"drop the purple screwdriver on station three",place_object
"search for the small brown book near right shelf",search_object
"fetch the big white fragile mug from top rack and place it on output bin",pick_and_place
"bring the medium black heavy spoon from station one and place it on station three",pick_and_place
"fetch the medium purple cup",pick_object
"grab the large brown bottle",pick_object
"put the orange plate on desk",place_object
"move to table two",go_to_location
"set the brown wrench on desk",place_object
"move to top rack",go_to_location
"go to table two",go_to_location
"grab the small red light block from zone b and place it on tray two",pick_and_place
"fetch the small yellow bottle",pick_object
"grab the medium brown cube",pick_object
"find the big yellow marker near left shelf",search_object
"locate the small orange plate near table one",search_object
"locate the medium brown spoon near bin a",search_object
"bring the medium red tool",pick_object
"move to bin a",go_to_location
"navigate to bin b",go_to_location
"put the gray book on packing area",place_object
"navigate to station two",go_to_location
"bring the large purple plastic mug from top rack and set it on inspection zone",pick_and_place
"move to station one",go_to_location
"drop the yellow jar on output bin",place_object
"put the blue ball on bin d",place_object
"go to bin b",go_to_location
"find the large white apple near left shelf",search_object
"set the brown remote on basket",place_object
"bring the small yellow tool",pick_object
